1,1,17,4242335
1,2,10,3117251
1,3,13,3918298
1,4,3,4038941
1,5,12,3068267
1,6,11,2977187
1,7,4,4362628
1,8,16,4241457
1,9,8,3043078
1,10,14,3139477
1,11,5,4262921
1,12,1,3054850
2,1,1,3116593
2,2,5,3916387
2,3,14,4259545
2,4,8,3917315
2,5,16,3115364
2,6,4,16800
2,7,11,3126486
2,8,12,4040715
2,9,3,2976212
2,10,13,4241389
2,11,10,15847
2,12,17,14881
3,1,17,2577417
3,2,10,3116385
3,3,13,3116365
3,4,3,3116406
3,5,12,4361579
3,6,11,3045147
3,7,4,4360248
3,8,16,15818
3,9,8,3042519
3,10,14,16737
3,11,5,3929630
3,12,1,4239993
4,1,1,4240021
4,2,5,3915511
4,3,14,3128720
4,4,8,4035687
4,5,16,4383351
4,6,4,3051392
4,7,11,3915416
4,8,12,4047646
4,9,3,2330
4,10,13,4035538
4,11,10,3121422
4,12,17,4047365
5,1,17,16731
5,2,10,4047650
5,3,13,4239996
5,4,3,2576925
5,5,12,8439
5,6,11,4427366
5,7,4,12483
5,8,16,4241985
5,9,8,3045138
5,10,14,3932905
5,11,5,4372016
5,12,1,16757
6,1,1,4241372
6,2,5,3128429
6,3,14,14880
6,4,8,4242214
6,5,16,4040655
6,6,4,3040151
6,7,11,4241463
6,8,12,4360310
6,9,3,4374302
6,10,13,16799
6,11,10,4241479
6,12,17,2976499
7,1,17,15835
7,2,10,15683
7,3,13,4362887
7,4,3,4040761
7,5,12,3117256
7,6,11,4243537
7,7,4,4241555
7,8,16,16460
7,9,8,4360939
7,10,14,3121023
7,11,5,3059915
7,12,1,3116165
8,1,1,4045163
8,2,5,3916148
8,3,14,14876
8,4,8,2969939
8,5,16,3895856
8,6,4,2577327
8,7,11,4036133
8,8,12,4239934
8,9,3,4360238
8,10,13,3120348
8,11,10,3135321
8,12,17,4360294
9,1,17,2976316
9,2,10,4241464
9,3,13,15807
9,4,3,3917792
9,5,12,4426502
9,6,11,4241478
9,7,4,11237
9,8,16,4258595
9,9,8,3119195
9,10,14,3925347
9,11,5,4569173
9,12,1,3128390
10,1,1,4372414
10,2,5,3139925
10,3,14,15880
10,4,8,3930086
10,5,16,4379399
10,6,4,15795
10,7,11,4240600
10,8,12,4361370
10,9,3,-16018
10,10,13,3916430
10,11,10,4360438
10,12,17,4046692
11,1,17,-16002
11,2,10,-16027
11,3,13,2573079
11,4,3,2576434
11,5,12,4569618
11,6,11,4052042
11,7,4,16760
11,8,16,4430191
11,9,8,4567156
11,10,14,4039359
11,11,5,3046779
11,12,1,3052587
12,1,1,3046439
12,2,5,2573401
12,3,14,4036348
12,4,8,3039707
12,5,16,4240657
12,6,4,4048244
12,7,11,-16009
12,8,12,4360234
12,9,3,4361411
12,10,13,3116164
12,11,10,4241474
12,12,17,3055899
13,1,17,4036131
13,2,10,2576414
13,3,13,-16033
13,4,3,4249087
13,5,12,4361259
13,6,11,3051909
13,7,4,11122
13,8,16,-16025
13,9,8,3917232
13,10,14,-16011
13,11,5,-16005
13,12,1,-16006
14,1,1,16339
14,2,5,10621
14,3,14,3915165
14,4,8,-16014
14,5,16,3975763
14,6,4,-16004
14,7,11,3122840
14,8,12,-16023
14,9,3,4567048
14,10,13,3049899
14,11,10,3123076
14,12,17,4242546
