3054850,Alvin Kamara,RB
3117251,Christian McCaffrey,RB
3051392,Ezekiel Elliott,RB
3929630,Saquon Barkley,RB
2977644,Todd Gurley II,RB
15795,DeAndre Hopkins,WR
16800,Davante Adams,WR
2976316,Michael Thomas,WR
2508176,David Johnson,RB
15825,Le'Veon Bell,RB
3120348,JuJu Smith-Schuster,WR
3045147,James Conner,RB
16733,Odell Beckham Jr.,WR
3116406,Tyreek Hill,WR
15847,Travis Kelce,TE
3116593,Dalvin Cook,RB
13982,Julio Jones,WR
3116385,Joe Mixon,RB
13934,Antonio Brown,WR
15818,Keenan Allen,WR
3916925,Kerryon Johnson,RB
3115364,Leonard Fournette,RB
16737,Mike Evans,WR
2576434,Melvin Gordon,RB
3128720,Nick Chubb,RB
12649,Julian Edelman,WR
3040151,George Kittle,TE
15835,Zach Ertz,TE
4047365,Josh Jacobs,RB
2976499,Amari Cooper,WR
16944,Devonta Freeman,RB
16460,Adam Thielen,WR
2976212,Stefon Diggs,WR
14924,T.Y. Hilton,WR
3042519,Aaron Jones,RB
3043078,Derrick Henry,RB
3139477,Patrick Mahomes,QB
16731,Brandin Cooks,WR
15880,Robert Woods,WR
3919596,Chris Carson,RB
17359,Damien Williams,RB
3139605,Marlon Mack,RB
13981,Mark Ingram II,RB
3116165,Chris Godwin,WR
3122840,Deshaun Watson,QB
16913,James White,RB
11237,Matt Ryan,QB
2974858,Kenny Golladay,WR
3925357,Calvin Ridley,WR
2577327,Tyler Lockett,WR
3128721,Sony Michel,RB
3066158,Tarik Cohen,RB
2977187,Cooper Kupp,WR
13979,J.J. Watt,DE
13983,A.J. Green,WR
3915416,DJ Moore,WR
3045144,Tyler Boyd,WR
14912,Alshon Jeffery,WR
3045138,Mike Williams,WR
3843750,Derrius Guice,RB
16725,Sammy Watkins,WR
2979843,Kenyan Drake,RB
2969962,Duke Johnson,RB
3052117,Phillip Lindsay,RB
16799,Allen Robinson II,WR
4035538,David Montgomery,RB
4045163,Miles Sanders,RB
15705,Josh Gordon,WR
3051876,Evan Engram,TE
8439,Aaron Rodgers,QB
2976592,Sterling Shepard,WR
16790,Jarvis Landry,WR
3043080,O.J. Howard,TE
13994,Cam Newton,QB
3046439,Hunter Henry,TE
12537,Jared Cook,TE
14938,Luke Kuechly,LB
2574808,Robby Anderson,WR
3056362,Darius Leonard,LB
16716,Aaron Donald,DT
3892889,Dede Westbrook,WR
15853,Vance McDonald,TE
3138677,Leighton Vander Esch,LB
3052876,Will Fuller V,WR
16710,Khalil Mack,DE
3052587,Baker Mayfield,QB
2580,Drew Brees,QB
3068267,Austin Ekeler,RB
3123076,David Njoku,TE
14886,Lamar Miller,RB
3895856,Christian Kirk,WR
2573079,Carson Wentz,QB
2979477,Tevin Coleman,RB
13295,Emmanuel Sanders,WR
3043275,Austin Hooper,TE
3139925,Rashaad Penny,RB
3916430,Nyheim Hines,RB
3122672,Royce Freeman,RB
2978304,Cory Littleton,LB
2577417,Dak Prescott,QB
15072,Marvin Jones Jr.,WR
3042778,Corey Davis,WR
2576716,Jamison Crowder,WR
14979,Bobby Wagner,LB
9761,Delanie Walker,TE
16732,Eric Ebron,TE
14874,Andrew Luck,QB
2330,Tom Brady,QB
16791,Donte Moncrief,WR
15920,Latavius Murray,RB
3915823,Keke Coutee,WR
3051902,Peyton Barber,RB
4036348,Michael Gallup,WR
3049916,Matt Breida,RB
3121427,Curtis Samuel,WR
11283,DeSean Jackson,WR
3122449,James Washington,WR
5528,Larry Fitzgerald,WR
14881,Russell Wilson,QB
3917315,Kyler Murray,QB
2587819,Tyrell Williams,WR
12514,LeSean McCoy,RB
3127306,Dante Pettis,WR
3116365,Mark Andrews,TE
3060022,Jordan Howard,RB
3128429,Courtland Sutton,WR
3115913,Geronimo Allison,WR
2976541,Kwon Alexander,LB
3051389,Joey Bosa,DE
4039359,Darrell Henderson Jr.,RB
3051738,Marquez Valdes-Scantling,WR
-16003,Bears D/ST,D/ST
4047650,DK Metcalf,WR
3046292,John Johnson III,S
2976560,Danielle Hunter,DE
3059915,Kareem Hunt,RB
15860,Jordan Reed,TE
4361606,Darwin Thompson,RB
4040761,Devin Singletary,RB
3046779,Jared Goff,QB
2576491,Adam Humphries,WR
3912550,Ronald Jones II,RB
13217,Golden Tate,WR
3929950,Tremaine Edmunds,LB
14922,Mohamed Sanu Sr.,WR
16974,Trey Burton,TE
3916387,Lamar Jackson,QB
14198,Dion Lewis,RB
2977609,Devin Funchess,WR
-16030,Jaguars D/ST,D/ST
2976545,Deion Jones,LB
3128774,Kalen Ballage,RB
3050487,Anthony Miller,WR
16016,Kenny Stills,WR
