2019,1,3,3057987,WR,2.0,9.04,19,100,False
2019,1,3,5529,QB,23.0,16.38,22,100,False
2019,1,3,2985659,K,14.0,9.57,15,100,False
2019,1,3,14985,LB,6.5,7.92,0,100,False
2019,1,12,3054850,RB,23.0,20.16,27,100,False
2019,1,12,15835,TE,10.0,12.98,28,100,False
2019,1,12,4047365,RB,23.0,15.23,8,100,False
2019,1,12,3915416,WR,13.0,12.17,14,100,False
2019,1,12,3045144,WR,14.0,14.01,17,100,False
2019,1,12,3052876,WR,8.0,8.75,27,100,False
2019,1,12,16710,DE,8.0,6.58,0,100,False
2019,1,12,3051902,RB,6.0,8.76,2,100,False
2019,1,12,4036348,WR,22.0,9.36,28,100,False
2019,1,12,3046779,QB,9.0,16.28,16,100,False
2019,1,12,14993,K,14.0,8.85,25,100,False
2019,1,12,-16007,D/ST,-1.0,6.39,9,100,False
2019,1,12,4040761,RB,14.0,8.67,9,100,False
2019,1,12,3116136,RB,6.0,7.94,10,100,False
2019,1,12,3915189,LB,4.5,8.19,0,100,False
2019,1,16,3045147,RB,10.0,13.92,1,100,False
2019,1,16,13982,WR,16.0,16.36,26,100,False
2019,1,16,3919596,RB,23.0,14.23,23,100,False
2019,1,16,3122840,QB,30.0,20.33,20,100,False
2019,1,16,15705,WR,16.0,12.36,13,100,False
2019,1,16,3043080,TE,7.0,9.49,5,100,False
2019,1,16,3139925,RB,1.0,8.35,23,100,False
2019,1,16,15072,WR,9.0,11.53,24,100,False
2019,1,16,3116365,TE,24.0,8.46,12,100,False
2019,1,16,3051389,DE,8.5,6.1,0,100,False
2019,1,16,3128774,RB,2.0,5.29,4,100,False
2019,1,16,16804,WR,25.0,8.17,25,100,False
2019,1,16,2969939,QB,6.0,17.69,10,100,False
2019,1,16,15683,K,11.0,9.19,31,100,False
2019,1,16,-16005,D/ST,1.0,7.1,8,100,False
2019,1,4,3117251,RB,42.0,19.81,15,100,False
2019,1,4,3040151,TE,14.0,14.51,27,100,False
2019,1,4,2976499,WR,22.0,14.17,28,100,False
2019,1,4,13983,WR,0.0,0.0,17,100,False
2019,1,4,14912,WR,21.0,11.94,20,100,False
2019,1,4,3138677,LB,14.5,8.2,0,100,False
2019,1,4,3052587,QB,9.0,15.41,18,100,False
2019,1,4,3915823,WR,0.0,6.93,27,100,False
2019,1,4,3049916,RB,3.0,9.88,3,100,False
2019,1,4,3912550,RB,9.0,4.44,2,100,False
2019,1,4,14054,TE,0.0,8.18,17,100,False
2019,1,4,16760,QB,10.0,16.36,23,100,False
2019,1,4,2971573,K,4.0,8.7,11,100,False
2019,1,4,-16006,D/ST,1.0,4.84,26,100,False
2019,1,4,16777,RB,9.0,2.53,6,100,False
2019,1,14,3120348,WR,13.0,17.42,1,100,False
2019,1,14,3116385,RB,3.0,14.72,19,100,False
2019,1,14,15880,WR,17.0,12.57,22,100,False
2019,1,14,16913,RB,12.0,13.14,5,100,False
2019,1,14,4045163,RB,3.0,8.96,30,100,False
2019,1,14,13994,QB,6.0,18.09,11,100,False
2019,1,14,3043275,TE,16.0,8.57,9,100,False
2019,1,14,3042778,WR,0.0,9.14,8,100,False
2019,1,14,3127306,WR,1.0,9.25,32,100,False
2019,1,14,4039359,RB,0.0,5.29,32,100,False
2019,1,14,2976545,LB,4.0,8.47,0,100,False
2019,1,14,3923397,RB,0.0,5.79,29,100,False
2019,1,14,3126486,WR,4.0,4.87,32,100,False
2019,1,14,-16026,D/ST,8.0,4.6,30,100,False
2019,1,14,2473037,K,3.0,7.86,30,100,False
2019,1,17,2977644,RB,10.0,15.7,32,100,False
2019,1,17,2576434,RB,0.0,0.0,10,100,False
2019,1,17,2976212,WR,5.0,13.17,16,100,False
2019,1,17,3066158,RB,12.0,9.88,24,100,False
2019,1,17,16725,WR,46.0,10.48,11,100,False
2019,1,17,16716,DT,1.0,5.33,0,100,False
2019,1,17,3123076,TE,13.0,8.03,26,100,False
2019,1,17,2330,QB,25.0,17.73,3,100,False
2019,1,17,3122449,WR,7.0,8.62,1,100,False
2019,1,17,3059915,RB,0.0,0.0,20,100,False
2019,1,17,14922,WR,10.0,8.84,9,100,False
2019,1,17,10475,TE,7.0,7.58,10,100,False
2019,1,17,3039707,QB,8.0,17.26,5,100,False
2019,1,17,-16017,D/ST,7.0,5.06,29,100,False
2019,1,17,16486,K,5.0,8.65,24,100,False
2019,1,15,2508176,RB,25.0,18.3,27,100,False
2019,1,15,15818,WR,26.0,15.46,23,100,False
2019,1,15,3139477,QB,27.0,19.23,18,100,False
2019,1,15,2974858,WR,14.0,13.1,24,100,False
2019,1,15,16799,WR,17.0,12.77,7,100,False
2019,1,15,12537,TE,5.0,10.15,24,100,False
2019,1,15,2979477,RB,7.0,10.9,3,100,False
2019,1,15,14979,LB,7.5,8.85,0,100,False
2019,1,15,2587819,WR,22.0,12.2,10,100,False
2019,1,15,-16003,D/ST,10.0,7.45,6,100,False
2019,1,15,2977609,WR,6.0,7.02,3,100,False
2019,1,15,3916148,RB,2.0,3.09,17,100,False
2019,1,15,3055899,K,17.0,8.55,12,100,False
2019,1,15,15966,RB,14.0,8.64,7,100,False
2019,1,15,2976516,RB,0.0,3.74,9,100,False
2019,1,13,15795,WR,32.0,19.3,27,100,False
2019,1,13,16737,WR,4.0,15.79,12,100,False
2019,1,13,14924,WR,28.0,11.94,3,100,False
2019,1,13,3128721,RB,1.0,10.81,5,100,False
2019,1,13,2979843,RB,4.0,11.96,27,100,False
2019,1,13,3056362,LB,7.0,9.72,0,100,False
2019,1,13,5528,WR,25.0,10.22,30,100,False
2019,1,13,16974,TE,0.0,0.0,17,100,False
2019,1,13,5536,QB,9.0,16.22,1,100,False
2019,1,13,14880,QB,13.0,15.6,26,100,False
2019,1,13,10452,RB,0.0,0.0,7,100,False
2019,1,13,4035004,WR,0.0,5.05,11,100,False
2019,1,13,4036131,TE,4.0,6.87,25,100,False
2019,1,13,-16020,D/ST,17.0,7.29,17,100,False
2019,1,13,16339,K,9.0,6.98,16,100,False
2019,2,8,16733,WR,28.0,16.45,25,100,False
2019,2,8,3116593,RB,27.0,14.53,24,100,False
2019,2,8,17359,RB,7.0,12.88,17,100,False
2019,2,8,3116165,WR,26.0,14.26,22,100,False
2019,2,8,3051876,TE,10.0,12.07,2,100,False
2019,2,8,16790,WR,6.0,11.64,25,100,False
2019,2,8,2577417,QB,26.0,18.75,24,100,False
2019,2,8,3060022,RB,2.0,5.82,12,100,False
2019,2,8,2976541,LB,10.5,7.87,0,100,False
